2022-02-24 02:11:07.858492+00:00 nozzle: 1 | time: 1645668667.8583815 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.965818+00:00 [INFO] onDur 0.14968385696411132 for nozzle 0 received.
2022-02-24 02:11:07.968070+00:00 [INFO] onDur 0.14971461296081542 for nozzle 2 received.
2022-02-24 02:11:07.971233+00:00 [INFO] onDur 0.14941587448120117 for nozzle 3 received.
2022-02-24 02:11:07.973461+00:00 [INFO] onDur 0.1497701644897461 for nozzle 1 received.
2022-02-24 02:11:07.984476+00:00 nozzle: 1 | time: 1645668667.9843915 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.985043+00:00 nozzle: 3 | time: 1645668667.984968 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.985524+00:00 nozzle: 2 | time: 1645668667.9854255 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.986212+00:00 nozzle: 2 | time: 1645668667.9861195 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.986603+00:00 nozzle: 0 | time: 1645668667.986547 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.987329+00:00 nozzle: 1 | time: 1645668667.9872062 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.988105+00:00 nozzle: 0 | time: 1645668667.987954 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.988730+00:00 nozzle: 1 | time: 1645668667.988635 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.989411+00:00 nozzle: 2 | time: 1645668667.9892824 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.990201+00:00 nozzle: 0 | time: 1645668667.9900608 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.990826+00:00 nozzle: 2 | time: 1645668667.9907236 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.991415+00:00 nozzle: 1 | time: 1645668667.9913278 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.991928+00:00 nozzle: 1 | time: 1645668667.9918585 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.992438+00:00 nozzle: 2 | time: 1645668667.9923592 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.992982+00:00 nozzle: 3 | time: 1645668667.992889 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.993483+00:00 nozzle: 2 | time: 1645668667.9934034 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.993951+00:00 nozzle: 1 | time: 1645668667.9938655 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.994433+00:00 nozzle: 0 | time: 1645668667.9943614 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.994976+00:00 nozzle: 2 | time: 1645668667.9948921 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.995490+00:00 nozzle: 2 | time: 1645668667.9954004 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.996006+00:00 nozzle: 3 | time: 1645668667.995915 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.996511+00:00 nozzle: 2 | time: 1645668667.9964201 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.997017+00:00 nozzle: 1 | time: 1645668667.9969451 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.997397+00:00 nozzle: 0 | time: 1645668667.9973423 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.997880+00:00 nozzle: 3 | time: 1645668667.9977956 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.998491+00:00 nozzle: 0 | time: 1645668667.9984002 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.998765+00:00 [INFO] onDur 0.023567581176757807 for nozzle 0 received.
2022-02-24 02:11:07.999202+00:00 nozzle: 1 | time: 1645668667.9991179 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:07.999751+00:00 nozzle: 2 | time: 1645668667.9996657 | location 0 | delay: 0 | duration: 0.15
